,Residence,Age,Class_Time,Class_Rating,Class_Medium,Self_Study_Time,Fitness_Time,Sleep_Time,Social_Media_Time,Social_Media_Platform,TV_Time,Meals_Number,Weight_Change,Health_Issue,Stress_Busters,Time_Utilized,Miss,More_Social_connection,Total_studying_time,Total_resting_time
176,Delhi-NCR,20,4,Poor,Smartphone,2,0,7,0,Whatsapp,0,3,0,NO,REST,NO,SCHOOL/WORK,NO,6,8
177,Delhi-NCR,20,0,Poor,Smartphone,4,1,9,1,Whatsapp,1,2,2,YES,REST,YES,SCHOOL/WORK,NO,4,12
178,Delhi-NCR,20,0,Poor,Laptop/Desktop,2,0,9,3,Instagram,2,4,0,NO,REST,NO,SOCIALIZE,YES,2,14
179,Outside Delhi-NCR,25,4,Poor,Laptop/Desktop,3,1,8,3,Whatsapp,0,4,0,NO,INDOOR ACTIVITIES,YES,TRAVELLING,NO,7,12
180,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,3,0,6,0,Instagram,1,3,2,NO,MUSIC,NO,ALL,NO,7,8
181,Delhi-NCR,25,1,Poor,Smartphone,4,2,8,2,Instagram,2,3,1,NO,INDOOR ACTIVITIES,YES,SOCIALIZE,YES,5,14
182,Outside Delhi-NCR,25,0,Poor,Laptop/Desktop,3,0,9,5,Instagram,0,2,0,YES,ONLINE ACTIVITIES,YES,SOCIALIZE,YES,3,14
183,Delhi-NCR,25,1,Poor,Laptop/Desktop,0,0,9,5,Instagram,2,3,0,NO,ONLINE ACTIVITIES,YES,SCHOOL/WORK,YES,2,14
184,Outside Delhi-NCR,20,2,Poor,Smartphone,2,1,8,2,Whatsapp,1,3,1,YES,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,4,12
185,Delhi-NCR,20,2,Poor,Smartphone,4,1,9,2,Others,0,4,2,NO,MUSIC,YES,SCHOOL/WORK,NO,6,12
186,Outside Delhi-NCR,25,1,Poor,Laptop/Desktop,1,0,8,5,Whatsapp,0,4,0,NO,SOCIALIZE,NO,BEING OUTSIDE,YES,2,13
187,Delhi-NCR,20,4,Poor,Smartphone,4,1,8,2,Whatsapp,3,4,2,NO,REST,NO,TRAVELLING,NO,8,14
188,Delhi-NCR,25,4,Poor,Laptop/Desktop,3,2,8,2,Whatsapp,0,4,0,NO,REST,YES,BEING OUTSIDE,YES,7,12
189,Outside Delhi-NCR,20,4,Poor,Any Gadget,4,3,8,0,Instagram,0,3,2,NO,READING,YES,SCHOOL/WORK,YES,8,11
190,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,1,2,8,1,Youtube,3,3,1,NO,INDOOR ACTIVITIES,YES,SOCIALIZE,YES,5,14
191,Outside Delhi-NCR,20,2,Poor,Smartphone,2,2,9,4,Youtube,0,3,0,NO,INDOOR ACTIVITIES,NO,SCHOOL/WORK,YES,4,14
192,Delhi-NCR,20,4,Poor,Laptop/Desktop,4,0,7,1,Others,0,3,0,NO,READING,NO,BEING OUTSIDE,YES,8,8
193,Outside Delhi-NCR,30,3,Poor,Smartphone,1,1,6,1,Whatsapp,0,2,2,NO,REST,YES,SCHOOL/WORK,YES,4,8
194,Delhi-NCR,20,1,Poor,Laptop/Desktop,1,0,8,1,Youtube,2,4,2,NO,OTHERS,NO,BEING OUTSIDE,NO,2,11
195,Outside Delhi-NCR,20,4,Poor,Smartphone,3,2,9,1,Instagram,1,3,1,YES,INDOOR ACTIVITIES,NO,SCHOOL/WORK,YES,7,13
196,Delhi-NCR,20,4,Poor,Smartphone,2,1,9,3,Instagram,0,3,2,NO,REST,NO,SOCIALIZE,YES,6,13
197,Delhi-NCR,20,1,Poor,Tablet,2,2,8,1,Youtube,0,2,1,NO,READING,NO,SCHOOL/WORK,YES,3,11
198,Delhi-NCR,20,4,Poor,Any Gadget,2,0,6,4,Instagram,0,3,0,NO,MUSIC,NO,BEING OUTSIDE,NO,6,10
199,Outside Delhi-NCR,20,4,Poor,Smartphone,4,2,7,2,Youtube,2,2,0,NO,INDOOR ACTIVITIES,NO,SCHOOL/WORK,YES,8,13
200,Delhi-NCR,25,3,Poor,Laptop/Desktop,2,0,7,2,Others,2,3,2,NO,INDOOR ACTIVITIES,YES,BEING OUTSIDE,NO,5,11
201,Delhi-NCR,20,4,Poor,Laptop/Desktop,0,0,9,1,Whatsapp,1,2,2,NO,MUSIC,NO,SCHOOL/WORK,YES,4,11
202,Delhi-NCR,25,4,Poor,Smartphone,2,2,6,5,Instagram,0,3,0,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,6,13
203,Outside Delhi-NCR,15,4,Poor,Smartphone,4,0,8,2,Instagram,2,3,0,NO,MUSIC,NO,SCHOOL/WORK,YES,8,12
204,Delhi-NCR,20,0,Poor,Laptop/Desktop,3,0,8,4,Others,1,3,0,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,YES,3,13
205,Outside Delhi-NCR,15,4,Poor,Laptop/Desktop,4,1,8,5,Whatsapp,0,3,1,NO,INDOOR ACTIVITIES,NO,SCHOOL/WORK,NO,8,14
206,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,4,0,6,1,Instagram,0,3,1,NO,MUSIC,YES,BEING OUTSIDE,YES,8,8
207,Outside Delhi-NCR,20,0,Poor,Laptop/Desktop,4,1,8,2,Whatsapp,0,2,2,NO,SOCIALIZE,NO,SCHOOL/WORK,NO,4,11
208,Outside Delhi-NCR,15,4,Poor,Smartphone,1,0,7,1,Youtube,1,3,2,NO,INDOOR ACTIVITIES,NO,SCHOOL/WORK,YES,5,9
209,Outside Delhi-NCR,20,1,Poor,Smartphone,0,0,9,5,Youtube,1,2,0,YES,REST,NO,SCHOOL/WORK,YES,2,14
210,Delhi-NCR,20,0,Poor,Laptop/Desktop,1,0,8,4,Others,2,3,0,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,NO,2,14
211,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,2,1,8,4,Youtube,0,4,0,NO,MUSIC,NO,SOCIALIZE,YES,6,13
212,Delhi-NCR,25,2,Poor,Laptop/Desktop,2,1,6,3,Whatsapp,1,3,2,NO,READING,YES,BEING OUTSIDE,YES,4,11
213,Delhi-NCR,25,0,Poor,Laptop/Desktop,4,0,7,3,Youtube,0,3,2,NO,READING,YES,NOTHING,YES,4,10
214,Delhi-NCR,25,4,Poor,Laptop/Desktop,2,1,8,3,Instagram,0,2,2,NO,INDOOR ACTIVITIES,NO,BEING OUTSIDE,NO,6,12
215,Delhi-NCR,20,3,Poor,Smartphone,4,1,7,1,Whatsapp,0,3,0,NO,REST,NO,BEING OUTSIDE,YES,7,9
216,Outside Delhi-NCR,20,4,Poor,Any Gadget,2,1,6,0,Whatsapp,1,3,2,NO,OTHERS,YES,SOCIALIZE,YES,6,8
217,Outside Delhi-NCR,20,0,Poor,Laptop/Desktop,4,1,8,2,Whatsapp,0,2,0,YES,INDOOR ACTIVITIES,YES,BEING OUTSIDE,YES,4,11
218,Delhi-NCR,20,1,Poor,Laptop/Desktop,3,0,8,3,Instagram,3,3,0,YES,MUSIC,YES,BEING OUTSIDE,YES,4,14
219,Delhi-NCR,20,2,Poor,Smartphone,3,1,9,3,Whatsapp,3,3,0,NO,REST,NO,SCHOOL/WORK,YES,5,14
220,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,2,0,6,2,Youtube,2,2,0,NO,REST,YES,SCHOOL/WORK,YES,6,10
221,Delhi-NCR,25,0,Poor,Laptop/Desktop,2,0,8,3,Whatsapp,3,3,1,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,NO,2,14
222,Delhi-NCR,25,4,Poor,Laptop/Desktop,4,0,8,1,Instagram,0,3,2,NO,MUSIC,YES,BEING OUTSIDE,NO,8,9
223,Delhi-NCR,20,3,Poor,Laptop/Desktop,4,1,8,0,Others,1,4,0,NO,READING,YES,SCHOOL/WORK,YES,7,10
224,Delhi-NCR,20,4,Poor,Smartphone,2,1,8,2,Whatsapp,0,3,0,NO,INDOOR ACTIVITIES,NO,SOCIALIZE,YES,6,11
225,Delhi-NCR,20,1,Poor,Smartphone,2,0,9,1,Instagram,0,2,2,NO,READING,NO,BEING OUTSIDE,NO,3,10
226,Delhi-NCR,20,3,Poor,Laptop/Desktop,4,1,6,1,Whatsapp,0,1,0,NO,REST,NO,BEING OUTSIDE,YES,7,8
227,Delhi-NCR,20,1,Poor,Laptop/Desktop,3,1,9,4,Instagram,0,2,0,NO,ONLINE ACTIVITIES,YES,SCHOOL/WORK,YES,4,14
228,Delhi-NCR,25,3,Poor,Smartphone,3,0,8,2,Instagram,1,3,0,NO,SOCIALIZE,NO,SCHOOL/WORK,NO,6,11
229,Delhi-NCR,20,2,Poor,Laptop/Desktop,1,1,7,5,Instagram,1,4,2,NO,SOCIALIZE,NO,SOCIALIZE,YES,3,14
230,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,4,1,6,1,Youtube,0,3,1,NO,MUSIC,YES,TRAVELLING,NO,8,8
231,Outside Delhi-NCR,20,0,Poor,Laptop/Desktop,1,0,9,5,Whatsapp,2,4,2,YES,MUSIC,YES,TRAVELLING,YES,2,14
232,Delhi-NCR,25,0,Poor,Laptop/Desktop,4,0,6,4,Youtube,2,3,0,NO,REST,NO,BEING OUTSIDE,YES,4,12
233,Outside Delhi-NCR,20,2,Poor,Laptop/Desktop,3,1,8,1,Instagram,2,4,2,NO,ONLINE ACTIVITIES,YES,TRAVELLING,YES,5,12
234,Delhi-NCR,20,4,Poor,Smartphone,2,1,9,0,Whatsapp,0,3,2,NO,MUSIC,NO,ALL,NO,6,10
235,Outside Delhi-NCR,25,1,Poor,Laptop/Desktop,3,1,7,3,Whatsapp,2,3,0,NO,READING,NO,TRAVELLING,YES,4,13
236,Delhi-NCR,20,3,Poor,Smartphone,2,1,8,3,Whatsapp,0,3,2,NO,MUSIC,NO,SOCIALIZE,YES,5,12
237,Delhi-NCR,25,4,Poor,Smartphone,4,1,8,1,Whatsapp,2,3,2,NO,INDOOR ACTIVITIES,YES,BEING OUTSIDE,YES,8,12
238,Outside Delhi-NCR,25,2,Poor,Laptop/Desktop,4,1,8,2,Others,1,2,2,NO,MUSIC,YES,SCHOOL/WORK,NO,6,12
239,Outside Delhi-NCR,25,4,Poor,Laptop/Desktop,1,1,8,4,Youtube,1,3,0,NO,ONLINE ACTIVITIES,YES,BEING OUTSIDE,NO,5,14
240,Delhi-NCR,25,3,Poor,Laptop/Desktop,3,2,6,2,Youtube,2,2,0,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,YES,6,12
241,Outside Delhi-NCR,25,1,Poor,Smartphone,3,1,8,1,Instagram,0,2,1,YES,INDOOR ACTIVITIES,NO,BEING OUTSIDE,NO,4,10
242,Outside Delhi-NCR,25,3,Poor,Laptop/Desktop,4,0,6,3,Whatsapp,3,3,2,NO,MUSIC,NO,SCHOOL/WORK,NO,7,12
243,Delhi-NCR,15,3,Poor,Tablet,4,3,7,3,Instagram,1,2,2,NO,OTHERS,YES,ALL,YES,7,14
244,Outside Delhi-NCR,20,4,Poor,Smartphone,3,0,8,4,Youtube,0,4,2,NO,NO ACTIVITIES,YES,NOTHING,NO,7,12
245,Delhi-NCR,20,1,Poor,Laptop/Desktop,3,2,7,1,Instagram,2,2,2,YES,INDOOR ACTIVITIES,NO,SCHOOL/WORK,NO,4,12
246,Outside Delhi-NCR,25,4,Poor,Laptop/Desktop,3,2,9,5,Youtube,1,3,0,YES,INDOOR ACTIVITIES,YES,BEING OUTSIDE,NO,7,14
247,Delhi-NCR,20,2,Poor,Laptop/Desktop,4,0,8,4,Youtube,0,3,2,NO,OTHERS,YES,SOCIALIZE,NO,6,12
248,Delhi-NCR,25,4,Poor,Smartphone,2,1,9,2,Instagram,1,4,0,NO,MUSIC,YES,SCHOOL/WORK,NO,6,13
249,Outside Delhi-NCR,20,0,Poor,Smartphone,0,2,7,5,Instagram,0,4,0,NO,WORK,YES,SOCIALIZE,YES,2,14
250,Delhi-NCR,20,3,Poor,Smartphone,0,0,9,5,Instagram,0,3,1,NO,INDOOR ACTIVITIES,NO,BEING OUTSIDE,NO,3,14
251,Delhi-NCR,25,2,Poor,Laptop/Desktop,2,1,9,2,Youtube,0,3,2,NO,REST,YES,SCHOOL/WORK,NO,4,12
252,Delhi-NCR,30,0,Poor,Smartphone,1,1,7,1,Whatsapp,2,2,1,NO,INDOOR ACTIVITIES,NO,TRAVELLING,YES,2,11
253,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,4,0,6,3,Whatsapp,0,4,0,NO,READING,NO,SCHOOL/WORK,YES,8,9
254,Delhi-NCR,20,4,Poor,Smartphone,2,1,9,2,Youtube,1,2,1,NO,OTHERS,NO,TRAVELLING,NO,6,13
255,Delhi-NCR,25,0,Poor,Laptop/Desktop,2,0,9,5,Others,1,3,0,NO,MUSIC,YES,SCHOOL/WORK,NO,2,14
256,Outside Delhi-NCR,25,4,Poor,Laptop/Desktop,2,0,8,0,Whatsapp,1,2,0,NO,REST,NO,SOCIALIZE,YES,6,9
257,Delhi-NCR,20,4,Poor,Laptop/Desktop,4,0,7,1,Others,0,3,0,NO,INDOOR ACTIVITIES,YES,SCHOOL/WORK,YES,8,8
258,Delhi-NCR,25,0,Poor,Laptop/Desktop,2,1,7,1,Instagram,0,4,2,YES,MUSIC,YES,TRAVELLING,NO,2,9
259,Outside Delhi-NCR,25,2,Poor,Smartphone,2,1,7,1,Whatsapp,3,3,2,NO,ONLINE ACTIVITIES,YES,ALL,NO,4,12
260,Delhi-NCR,20,1,Poor,Laptop/Desktop,0,0,9,5,Instagram,2,2,2,NO,INDOOR ACTIVITIES,NO,NOTHING,NO,2,14
261,Outside Delhi-NCR,25,2,Poor,Laptop/Desktop,2,0,8,2,Instagram,1,3,2,YES,READING,NO,BEING OUTSIDE,YES,4,11
262,Delhi-NCR,15,4,Poor,Smartphone,2,0,8,2,Youtube,3,2,2,NO,ONLINE ACTIVITIES,YES,TRAVELLING,YES,6,13
263,Delhi-NCR,25,1,Poor,Laptop/Desktop,2,0,9,3,Whatsapp,3,2,0,YES,EXERCISE,NO,SOCIALIZE,NO,3,14
264,Delhi-NCR,20,2,Poor,Smartphone,2,0,9,2,Others,1,3,2,NO,ONLINE ACTIVITIES,NO,NOTHING,NO,4,12
265,Outside Delhi-NCR,20,4,Poor,Smartphone,1,1,9,1,Instagram,1,2,0,NO,ONLINE ACTIVITIES,NO,ALL,YES,5,12
266,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,4,0,6,1,Youtube,0,4,2,NO,ONLINE ACTIVITIES,YES,SOCIALIZE,NO,8,8
267,Outside Delhi-NCR,30,2,Poor,Smartphone,0,1,6,2,Others,0,3,0,NO,SOCIALIZE,NO,SOCIALIZE,YES,2,9
268,Outside Delhi-NCR,15,4,Poor,Tablet,4,0,8,1,Others,1,3,2,NO,MUSIC,NO,SOCIALIZE,YES,8,10
269,Outside Delhi-NCR,30,1,Poor,Laptop/Desktop,4,1,8,2,Others,0,3,0,NO,READING,YES,SCHOOL/WORK,YES,5,11
270,Outside Delhi-NCR,25,3,Poor,Laptop/Desktop,3,1,8,2,Instagram,0,3,0,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,6,11
271,Delhi-NCR,15,4,Poor,Smartphone,3,3,8,3,Instagram,2,3,2,NO,INDOOR ACTIVITIES,YES,SCHOOL/WORK,YES,7,14
272,Delhi-NCR,30,2,Poor,Laptop/Desktop,3,1,7,2,Others,1,3,2,NO,REST,YES,TRAVELLING,YES,5,11
273,Delhi-NCR,20,0,Poor,Smartphone,4,1,6,2,Youtube,2,1,0,YES,READING,NO,SCHOOL/WORK,YES,4,11
274,Delhi-NCR,20,1,Poor,Smartphone,2,1,7,2,Whatsapp,3,3,2,NO,MUSIC,NO,SCHOOL/WORK,YES,3,13
275,Delhi-NCR,20,4,Poor,Laptop/Desktop,4,1,6,1,Whatsapp,1,3,0,NO,MUSIC,YES,SCHOOL/WORK,YES,8,9
276,Outside Delhi-NCR,20,4,Poor,Smartphone,4,1,6,2,Whatsapp,2,2,2,NO,EXERCISE,YES,TRAVELLING,NO,8,11
277,Delhi-NCR,25,0,Poor,Laptop/Desktop,2,0,7,3,Others,0,3,2,NO,MUSIC,YES,BEING OUTSIDE,NO,2,10
278,Delhi-NCR,25,4,Poor,Smartphone,0,1,7,4,Instagram,1,4,0,NO,MUSIC,YES,SOCIALIZE,YES,4,13
279,Delhi-NCR,25,3,Poor,Laptop/Desktop,0,1,8,3,Instagram,0,3,0,YES,MUSIC,NO,SCHOOL/WORK,NO,3,12
280,Delhi-NCR,20,4,Poor,Laptop/Desktop,2,1,6,0,Others,0,3,2,NO,READING,YES,BEING OUTSIDE,YES,6,8
281,Delhi-NCR,20,1,Poor,Laptop/Desktop,2,0,6,4,Instagram,1,3,2,NO,INDOOR ACTIVITIES,YES,BEING OUTSIDE,YES,3,11
282,Delhi-NCR,15,0,Poor,Smartphone,2,2,9,2,Youtube,0,3,0,NO,INDOOR ACTIVITIES,YES,SCHOOL/WORK,NO,2,13
283,Delhi-NCR,30,1,Poor,Laptop/Desktop,2,1,6,4,Whatsapp,0,2,2,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,3,11
284,Delhi-NCR,20,3,Poor,Laptop/Desktop,2,1,8,4,Others,0,3,2,YES,MUSIC,NO,TRAVELLING,YES,5,13
285,Delhi-NCR,25,3,Poor,Laptop/Desktop,3,0,8,2,Instagram,0,4,1,NO,REST,NO,TRAVELLING,YES,6,10
286,Outside Delhi-NCR,20,1,Poor,Laptop/Desktop,1,0,8,4,Instagram,0,3,1,NO,ONLINE ACTIVITIES,YES,BEING OUTSIDE,YES,2,12
287,Outside Delhi-NCR,20,1,Poor,Laptop/Desktop,2,2,9,4,Instagram,3,2,2,NO,MUSIC,YES,TRAVELLING,NO,3,14
288,Outside Delhi-NCR,20,4,Poor,Smartphone,3,1,6,1,Others,2,1,2,NO,INDOOR ACTIVITIES,YES,SCHOOL/WORK,YES,7,10
289,Delhi-NCR,20,1,Poor,Laptop/Desktop,4,0,8,3,Instagram,0,3,2,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,NO,5,11
290,Delhi-NCR,20,3,Poor,Laptop/Desktop,4,1,8,2,Whatsapp,0,4,2,NO,INDOOR ACTIVITIES,YES,BEING OUTSIDE,YES,7,11
291,Delhi-NCR,20,0,Poor,Laptop/Desktop,2,1,6,4,Youtube,0,2,2,NO,OTHERS,NO,SOCIALIZE,YES,2,11
292,Outside Delhi-NCR,20,1,Poor,Laptop/Desktop,1,0,9,2,Others,1,3,0,NO,MUSIC,NO,BEING OUTSIDE,YES,2,12
293,Outside Delhi-NCR,20,2,Poor,Laptop/Desktop,4,1,8,2,Instagram,0,3,2,NO,REST,YES,SOCIALIZE,YES,6,11
294,Delhi-NCR,20,4,Poor,Laptop/Desktop,3,1,7,4,Others,0,3,1,NO,MUSIC,YES,BEING OUTSIDE,YES,7,12
295,Delhi-NCR,20,4,Poor,Smartphone,1,1,8,5,Youtube,0,2,0,NO,INDOOR ACTIVITIES,NO,SOCIALIZE,YES,5,14
296,Delhi-NCR,15,1,Poor,Laptop/Desktop,1,0,8,0,Youtube,1,3,0,NO,MUSIC,NO,BEING OUTSIDE,NO,2,9
297,Delhi-NCR,15,4,Poor,Smartphone,1,1,7,1,Whatsapp,3,2,1,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,YES,5,12
298,Delhi-NCR,20,2,Poor,Laptop/Desktop,1,1,7,1,Whatsapp,1,2,2,NO,ONLINE ACTIVITIES,YES,SCHOOL/WORK,YES,3,10
299,Outside Delhi-NCR,15,2,Poor,Laptop/Desktop,1,1,7,2,Instagram,2,2,0,NO,REST,YES,SOCIALIZE,YES,3,12
300,Delhi-NCR,20,2,Poor,Laptop/Desktop,2,2,8,3,Instagram,0,3,2,NO,ONLINE ACTIVITIES,YES,BEING OUTSIDE,YES,4,13
301,Delhi-NCR,25,1,Poor,Smartphone,3,0,7,3,Youtube,2,3,2,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,4,12
302,Outside Delhi-NCR,20,3,Poor,Laptop/Desktop,0,1,9,4,Youtube,3,4,1,NO,REST,NO,SOCIALIZE,YES,3,14
303,Outside Delhi-NCR,25,0,Poor,Laptop/Desktop,1,0,6,5,Instagram,1,3,2,YES,ONLINE ACTIVITIES,NO,SCHOOL/WORK,NO,2,12
304,Delhi-NCR,20,2,Poor,Laptop/Desktop,3,2,7,3,Instagram,1,2,1,NO,SOCIALIZE,YES,BEING OUTSIDE,YES,5,13
305,Outside Delhi-NCR,30,1,Poor,Smartphone,0,0,9,2,Others,2,3,2,NO,ONLINE ACTIVITIES,NO,SCHOOL/WORK,YES,2,13
306,Delhi-NCR,25,2,Poor,Laptop/Desktop,0,1,9,5,Instagram,3,4,2,NO,MUSIC,NO,SCHOOL/WORK,NO,2,14
307,Outside Delhi-NCR,25,2,Poor,Laptop/Desktop,2,1,8,2,Whatsapp,2,3,2,YES,ONLINE ACTIVITIES,YES,SOCIALIZE,YES,4,13
308,Delhi-NCR,15,4,Poor,Laptop/Desktop,3,1,9,3,Instagram,1,4,2,NO,MUSIC,YES,ALL,YES,7,14
309,Outside Delhi-NCR,20,1,Poor,Laptop/Desktop,0,1,9,5,Youtube,0,3,2,NO,INDOOR ACTIVITIES,NO,SOCIALIZE,NO,2,14
310,Outside Delhi-NCR,20,3,Poor,Laptop/Desktop,1,0,6,1,Youtube,2,3,0,NO,ONLINE ACTIVITIES,NO,SCHOOL/WORK,YES,4,9
311,Outside Delhi-NCR,20,3,Poor,Smartphone,2,0,8,2,Instagram,0,3,2,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,YES,5,10
312,Delhi-NCR,15,4,Poor,Tablet,3,0,8,0,Others,1,2,1,NO,REST,NO,TRAVELLING,NO,7,9
313,Outside Delhi-NCR,20,0,Poor,Laptop/Desktop,3,1,8,3,Instagram,0,4,0,NO,READING,YES,BEING OUTSIDE,YES,3,12
314,Outside Delhi-NCR,20,2,Poor,Laptop/Desktop,2,1,9,2,Instagram,0,2,2,YES,MUSIC,NO,BEING OUTSIDE,YES,4,12
315,Delhi-NCR,20,3,Poor,Laptop/Desktop,4,1,8,2,Others,0,3,2,NO,READING,YES,BEING OUTSIDE,YES,7,11
316,Delhi-NCR,25,0,Poor,Laptop/Desktop,2,1,7,2,Whatsapp,3,3,0,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,NO,2,13
317,Outside Delhi-NCR,20,0,Poor,Laptop/Desktop,2,0,7,5,Instagram,0,2,1,YES,MUSIC,NO,SOCIALIZE,YES,2,12
318,Delhi-NCR,25,3,Poor,Laptop/Desktop,2,0,7,3,Youtube,0,3,0,NO,READING,YES,BEING OUTSIDE,YES,5,10
319,Outside Delhi-NCR,30,4,Poor,Smartphone,2,1,6,0,Others,1,2,2,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,6,8
320,Delhi-NCR,20,4,Poor,Laptop/Desktop,4,0,8,0,Youtube,0,2,2,NO,READING,YES,SCHOOL/WORK,YES,8,8
321,Outside Delhi-NCR,25,0,Poor,Laptop/Desktop,4,0,7,2,Instagram,0,3,2,NO,MUSIC,YES,SOCIALIZE,NO,4,9
322,Delhi-NCR,25,4,Poor,Laptop/Desktop,4,1,9,1,Instagram,0,4,2,NO,MUSIC,NO,SOCIALIZE,NO,8,11
323,Outside Delhi-NCR,25,2,Poor,Laptop/Desktop,4,1,8,5,Instagram,1,2,0,NO,ONLINE ACTIVITIES,YES,SCHOOL/WORK,YES,6,14
324,Outside Delhi-NCR,20,0,Poor,Smartphone,4,1,7,4,Instagram,0,3,2,NO,READING,YES,TRAVELLING,YES,4,12
325,Outside Delhi-NCR,20,4,Poor,Smartphone,2,1,9,2,Instagram,0,3,2,NO,MUSIC,YES,SOCIALIZE,NO,6,12
326,Delhi-NCR,20,0,Poor,Laptop/Desktop,4,3,6,2,Whatsapp,0,4,1,NO,MUSIC,YES,SOCIALIZE,YES,4,11
327,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,4,1,9,2,Youtube,0,4,0,NO,MUSIC,NO,BEING OUTSIDE,YES,8,12
328,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,0,0,8,5,Instagram,1,3,0,NO,INDOOR ACTIVITIES,NO,SCHOOL/WORK,YES,4,14
329,Outside Delhi-NCR,25,2,Poor,Laptop/Desktop,0,1,7,3,Instagram,0,2,2,NO,INDOOR ACTIVITIES,YES,SCHOOL/WORK,YES,2,11
330,Delhi-NCR,25,4,Poor,Laptop/Desktop,4,1,7,1,Whatsapp,0,2,1,NO,MUSIC,YES,TRAVELLING,YES,8,9
331,Delhi-NCR,20,4,Poor,Laptop/Desktop,2,0,9,4,Instagram,0,2,0,NO,ONLINE ACTIVITIES,NO,SCHOOL/WORK,NO,6,13
332,Delhi-NCR,20,4,Poor,Smartphone,4,0,8,4,Instagram,3,3,2,NO,INDOOR ACTIVITIES,YES,BEING OUTSIDE,YES,8,14
333,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,3,1,8,3,Whatsapp,2,3,0,NO,REST,YES,SCHOOL/WORK,YES,7,14
334,Delhi-NCR,20,4,Poor,Laptop/Desktop,2,1,8,2,Youtube,0,3,0,NO,EXERCISE,YES,SOCIALIZE,YES,6,11
335,Outside Delhi-NCR,20,4,Poor,Smartphone,1,0,9,4,Whatsapp,1,3,1,YES,INDOOR ACTIVITIES,NO,BEING OUTSIDE,YES,5,14
336,Delhi-NCR,25,4,Poor,Tablet,0,3,9,5,Others,0,1,1,NO,REST,NO,TRAVELLING,NO,4,14
337,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,4,1,6,1,Instagram,0,4,2,YES,MUSIC,YES,SCHOOL/WORK,YES,8,8
338,Outside Delhi-NCR,20,2,Poor,Laptop/Desktop,3,0,7,3,Whatsapp,2,2,0,NO,ONLINE ACTIVITIES,NO,SCHOOL/WORK,NO,5,12
339,Outside Delhi-NCR,20,0,Poor,Laptop/Desktop,1,1,8,1,Instagram,0,3,0,NO,ONLINE ACTIVITIES,NO,NOTHING,YES,2,10
340,Outside Delhi-NCR,25,2,Poor,Laptop/Desktop,2,0,8,1,Instagram,1,3,2,YES,READING,NO,SCHOOL/WORK,NO,4,10
341,Delhi-NCR,25,3,Poor,Laptop/Desktop,4,3,6,1,Whatsapp,0,3,2,NO,REST,YES,SCHOOL/WORK,NO,7,10
342,Delhi-NCR,25,2,Poor,Smartphone,4,0,6,3,Whatsapp,0,4,1,NO,MUSIC,NO,SCHOOL/WORK,NO,6,9
343,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,4,0,8,2,Whatsapp,0,1,2,NO,READING,NO,SCHOOL/WORK,NO,8,10
344,Outside Delhi-NCR,20,2,Poor,Smartphone,2,0,9,4,Instagram,0,3,2,NO,SOCIALIZE,NO,SOCIALIZE,YES,4,13
345,Outside Delhi-NCR,25,4,Poor,Laptop/Desktop,2,0,6,3,Instagram,0,4,0,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,6,9
346,Delhi-NCR,25,4,Poor,Laptop/Desktop,4,0,7,2,Others,0,3,0,NO,ONLINE ACTIVITIES,YES,SCHOOL/WORK,YES,8,9
347,Delhi-NCR,20,3,Poor,Laptop/Desktop,4,2,6,3,Youtube,0,3,2,NO,EXERCISE,YES,TRAVELLING,YES,7,11
348,Outside Delhi-NCR,25,4,Poor,Smartphone,0,1,8,4,Others,0,3,2,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,4,13
349,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,0,1,6,2,Others,1,4,2,NO,INDOOR ACTIVITIES,NO,BEING OUTSIDE,YES,4,10
