year,price,transmission,mileage,fuelType,tax,mpg,engineSize
2017,15000,2,24101,1,125,60.1,2
2019,16000,2,5000,5,150,58.9,1
2019,20000,2,4051,1,150,47.9,2
2015,8000,2,49327,5,20,60.1,1
2018,8500,2,6043,5,150,48.7,1.2
2018,12000,2,8538,5,150,56.5,1
2019,12990,2,4675,5,150,56.5,1
2017,13650,2,38969,1,125,60.1,2
2014,10000,2,52634,1,150,53.3,2
2016,19544,1,18920,5,260,35.8,2
2015,8200,2,23420,5,125,53.3,1
2018,11300,2,28271,5,145,57.7,1
2018,14200,2,9947,5,145,55.4,1
2016,12500,2,34868,1,125,60.1,2
2017,13900,2,33059,1,125,60.1,2
2017,11500,2,5859,5,30,54.3,1
2017,10250,2,17549,5,145,65.7,1
2018,19500,2,6112,5,145,41.5,2
2018,17400,3,21900,1,145,61.4,2
2017,10000,2,25233,5,20,62.8,1
2019,16500,2,5910,5,150,46.3,1.5
2019,14490,2,8274,5,150,58.9,1
2018,10000,2,6797,5,150,65.7,1
2016,8500,2,42000,5,20,62.8,1
2018,9790,2,5879,5,150,64.2,1.1
2014,5490,3,71445,5,165,44.1,1.6
2017,18990,3,28911,1,125,51.4,2
2017,10490,2,16087,5,0,65.7,1
2017,6495,2,30092,5,30,57.7,1.2
2014,4499,2,21303,5,30,57.7,1.2
2015,7995,2,22500,5,125,52.3,1
2017,9995,2,27755,5,20,62.8,1
2018,10995,2,17316,5,145,65.7,1
2016,7495,2,39012,5,0,65.7,1
2017,15450,1,26854,5,235,38.2,1.5
2018,20359,3,7222,1,145,52.3,2
2019,24990,2,7725,1,150,54.3,2
2015,8795,2,62248,1,20,68.9,2
2017,16995,2,48533,1,125,56.5,2
2019,18395,2,10568,1,145,54.3,1.5
2017,18490,3,36000,1,160,48.7,2
2017,9690,2,40911,1,150,64.2,1.5
2018,12995,2,8578,5,145,58.9,1
2018,17995,3,34880,1,145,52.3,2
2014,6495,2,52851,1,20,70.6,1.6
2017,9695,2,32793,1,20,68.9,1.5
2018,14500,2,4906,5,150,49.6,1
2018,10490,2,8864,5,150,64.2,1.1
2015,8250,2,26937,5,0,65.7,1
2017,12200,2,48744,1,125,60.1,2
2017,12390,3,26482,1,150,74.3,1.5
2017,14990,3,13562,1,145,58.9,1.5
2016,11790,2,29416,1,30,64.2,1.5
2016,7995,2,46702,1,0,78.5,1.5
2016,7890,2,30035,1,30,64.2,1.5
2016,7290,2,54184,1,0,88.3,1.5
2017,16490,3,15121,1,150,58.9,1.5
2015,9490,2,32803,1,125,60.1,2
2016,7995,1,25109,5,160,44.1,1.6
2016,9795,2,48154,1,30,64.2,1.5
2016,9995,3,22885,1,30,58.9,1.5
2017,19194,2,64432,1,145,44.8,2
2019,14995,2,7641,5,150,40.4,1.5
2017,11695,3,15866,1,30,58.9,1.5
2015,9995,2,50178,1,145,54.3,1.6
2016,20645,1,23743,1,200,47.9,2
2017,17345,3,29084,1,145,54.3,2
2013,5790,2,40000,5,30,54.3,1.2
2019,17990,2,880,1,150,38.2,2
2020,36500,3,672,5,145,30.7,2.3
2018,12490,2,16975,1,145,88.3,1.5
2019,13690,2,4401,5,145,48.7,1.1
2017,7390,2,40782,5,125,54.3,1.2
2017,18490,2,19775,1,165,48.7,2
2018,9990,2,12639,5,150,65.7,1
2018,10490,2,11785,5,150,65.7,1
2018,13290,2,9459,5,150,60.1,1
2019,33500,1,10,1,145,37.2,2
2016,7490,2,62398,1,0,74.3,1.5
2016,10490,2,26985,5,30,54.3,1
2018,9990,2,5029,5,145,65.7,1
2013,6490,2,30869,1,20,67.3,1.6
2018,9590,2,9864,5,145,65.7,1
2019,24990,2,4380,5,145,34.5,2.3
2013,8790,2,45987,1,145,52.3,1.6
2018,15990,2,15292,5,150,40.3,1.5
2018,12495,2,11042,1,150,88.3,1.5
2019,15790,2,8422,5,150,60.1,1
2018,9495,2,10126,5,150,65.7,1
2019,15590,2,7513,5,150,51.4,1
2018,13250,2,13090,5,150,57.7,1
2019,17990,2,4967,5,150,48.7,1
2017,10990,2,22888,5,30,54.3,1
2018,15790,2,7721,1,150,54.3,1.5
2017,16990,2,7271,5,165,45.6,1.5
2019,14190,2,3816,5,150,58.9,1
2017,9750,2,25500,5,145,65.7,1
2020,20775,2,270,5,145,50.4,1
2020,21490,2,295,5,145,60.1,1
2014,6995,2,32500,5,0,65.7,1
2019,19990,2,2280,1,145,57.7,1.5
2018,14950,2,8480,5,145,53.3,1
2017,15495,2,20530,1,145,54.3,2
2013,6595,2,33842,5,30,54.3,1.2
2016,7995,2,21299,1,20,70.6,1.6
2017,9990,2,19263,5,0,65.7,1
2015,4950,2,12864,5,30,57.7,1.2
2016,8450,2,45444,1,0,74.3,1.5
2016,15450,2,27000,5,200,41.5,2
2017,11950,3,12739,5,125,51.4,1
2019,15795,2,5152,5,145,51.4,1
2018,12495,2,12810,5,145,56.5,1
2017,19995,2,22930,1,160,48.7,2
2019,13395,2,12043,5,145,65.7,1
2018,14495,2,9700,5,145,57.7,1
2018,14995,3,9990,5,150,48.7,1
2016,7995,2,36500,5,20,60.1,1
2017,15250,2,46800,1,150,54.3,2
2017,8650,2,36700,5,145,52.3,1
2019,14995,2,200,5,145,58.9,1
2017,10950,2,31079,1,0,74.3,1.5
2019,15888,2,2445,5,150,58.9,1
2015,8950,2,21182,1,20,68.9,1.5
2019,16495,2,7137,5,150,60.1,1
2017,12950,2,14369,1,150,64.2,1.5
2018,13950,2,22188,5,150,57.7,1
2016,8990,2,21871,5,0,65.7,1
2017,14950,2,13411,1,125,60.1,2
2015,11995,2,43393,1,20,67.3,2
2020,39990,3,691,5,145,22.1,5
2017,9450,2,28463,1,20,68.9,1.5
2018,9200,2,13751,5,145,64.2,1.1
2017,10200,2,32058,1,30,64.2,1.5
2018,10250,2,26457,5,150,65.7,1
2017,7250,2,32880,5,145,64.2,1.1
2016,17750,2,24984,1,160,48.7,2
2019,17698,2,6543,5,145,60.1,1
2014,4698,2,22455,5,30,57.7,1.2
2015,5498,2,57311,5,30,54.3,1.2
2013,6298,2,33627,5,30,54.3,1.2
2015,6298,2,30797,5,125,54.3,1.2
2017,14998,2,33184,1,125,60.1,2
2016,8998,2,22773,5,125,53.3,1
2013,6598,2,18143,5,145,47.1,1.4
2015,11998,2,46780,1,20,67.3,2
2017,13495,2,37000,5,160,45.6,1.5
2018,15450,2,15574,1,145,64.2,1.5
2017,6950,2,28215,5,145,57.7,1.2
2018,9995,2,5143,5,145,43.5,1.2
2016,14998,2,36023,1,145,54.3,2
2015,8495,3,36000,5,165,44.8,1.6
2019,16500,2,6069,1,145,61.4,1.5
2018,14250,2,4706,5,145,65.7,1
2018,9490,2,15196,5,145,64.2,1.1
2019,13250,2,7896,5,145,58.9,1
2017,9400,2,36239,5,0,65.7,1
2018,7950,2,5023,5,145,57.7,1.2
2018,21390,2,15800,1,145,56.5,2
2017,13390,2,32123,1,30,64.2,1.5
2015,9690,2,65000,1,125,60.1,2
2016,9790,2,50192,1,125,60.1,2
2014,11990,3,37800,1,200,45.6,2
2013,9990,2,51097,5,240,39.2,2
2018,13790,2,26984,1,145,47.1,2
2016,8990,2,39000,1,0,74.3,1.5
2015,5490,2,58000,5,0,65.7,1
2013,4990,3,48232,5,165,44.1,1.6
2017,6699,2,33315,5,30,57.7,1.2
2018,12799,2,12949,1,145,68.9,1.5
2014,10699,2,45497,1,200,47.9,2
2018,7699,2,16241,5,145,57.7,1.2
2017,10300,2,23296,5,0,65.7,1
2018,16300,2,17287,1,145,60.1,2
2018,12500,2,10349,5,150,65.7,1
2018,8300,2,23043,5,150,57.7,1.2
2018,10350,2,10573,5,150,65.7,1
2015,7250,3,47360,5,165,44.1,1.6
2014,7250,2,45000,5,0,65.7,1
2016,16500,2,31100,1,150,54.3,2
2019,20500,2,10465,1,145,37.7,2
2015,12695,2,32659,1,20,67.3,2
2016,7495,2,28290,5,125,54.3,1.2
2016,8995,2,20741,5,0,65.7,1
2019,17495,2,6800,5,145,60.1,1
2015,7695,2,13000,5,125,54.3,1.2
2014,6495,2,43000,5,20,58.9,1
2019,26698,2,3498,1,145,50.4,2
2017,10298,2,13095,5,125,53.3,1
2016,9798,2,23858,5,30,55.4,1
2016,14998,2,23589,1,20,67.3,2
2014,6998,2,33353,5,0,65.7,1
2019,18498,2,2369,5,150,49.6,1
2014,7498,2,29951,5,0,65.7,1
2017,15998,2,24024,5,150,45.6,1.5
2017,9995,2,20102,5,20,60.1,1
2018,14998,2,9712,5,145,58.9,1
2019,13798,2,11680,5,145,58.9,1
2015,7498,2,17151,5,145,47.1,1.4
2018,14500,2,15644,5,145,54.3,1
2018,15300,2,4311,5,145,54.3,1
2017,12400,2,26719,1,145,74.3,1.5
2018,12377,2,30335,5,145,65.7,1
2016,9500,2,15636,5,125,54.3,1.2
2015,7400,2,31563,5,125,54.3,1.2
2016,9300,2,4520,5,125,54.3,1.2
2017,7950,2,6073,5,145,57.7,1.2
2019,15950,2,6768,5,145,58.9,1
2019,25250,2,7416,5,145,34.5,2.3
2017,7990,2,33699,5,150,64.2,1.1
2015,7495,2,4627,5,125,54.3,1.2
2018,9599,2,28240,5,150,65.7,1
2019,12995,2,9597,5,150,58.9,1
2019,17690,2,7404,1,150,45.6,1.5
2019,10250,2,6613,5,150,47.9,1.2
2017,9800,2,14522,5,145,64.2,1.1
2017,8100,2,10468,5,145,57.7,1.2
2018,11300,2,13802,5,145,58.9,1
2018,19000,2,16316,1,145,54.3,2
2017,13998,2,35448,1,150,60.1,2
2017,11998,2,7721,5,0,65.7,1
2015,7998,2,33515,1,30,61.4,1.5
2017,11998,2,20758,1,0,74.3,1.5
2018,13700,2,9889,5,145,54.3,1
2019,16450,2,10265,1,145,54.3,1.5
2015,7995,2,14631,5,30,54.3,1.2
2017,11450,3,13056,1,125,58.9,2
2017,11450,2,25133,5,145,47.9,1.6
2018,16950,2,2684,5,145,41.5,2
2017,11950,2,6046,1,0,78.5,1.5
2018,14250,2,11591,5,145,60.1,1
2016,7250,2,13865,5,30,57.7,1.2
2018,10050,2,14830,5,145,64.2,1.1
2018,9000,2,10920,5,145,57.7,1.2
2018,12400,2,14346,5,145,62.8,1
2018,11200,2,10357,5,145,65.7,1
2020,21000,2,52,5,145,60.1,1
2018,9741,2,23860,5,145,64.2,1.1
2019,17498,1,13743,5,150,51.4,1
2015,9998,2,37962,1,150,53.3,2
2017,12698,3,5715,5,125,51.4,1
2017,9998,2,11599,5,145,52.3,1
2017,15998,2,22814,1,145,54.3,2
2017,10298,2,41460,5,30,55.4,1
2018,11980,3,30898,5,150,51.4,1
2017,9698,2,24505,1,145,64.2,1.5
2013,4998,2,71825,5,0,65.7,1
2018,15998,3,21173,1,150,58.9,1.5
2015,4698,2,19502,5,30,57.7,1.2
2015,6998,2,39405,5,0,65.7,1
2017,17298,2,10044,1,150,67.3,2
2017,11998,2,14032,1,150,74.3,1.5
2018,17498,2,13058,1,145,54.3,1.5
2018,16998,2,18678,1,145,74.3,1.5
2017,13995,1,20893,5,235,38.2,1.5
2018,11995,2,21643,5,145,47.9,1
2019,15995,2,2350,1,145,54.3,1.5
2017,9290,2,30803,1,20,68.9,1.5
2017,13990,2,37187,1,145,54.3,2
2019,25990,3,9282,1,145,51.4,2
2013,6290,2,33428,5,30,54.3,1.2
2019,15490,2,8028,5,145,55.4,1
2017,10690,2,15650,5,145,55.4,1
2016,8498,3,55102,5,165,44.8,1.5
2017,11498,2,22213,1,0,74.3,1.5
2018,11998,2,15798,5,150,65.7,1
2017,10598,2,14212,5,145,60.1,1
2017,10998,2,27412,1,150,74.3,1.5
2015,7498,2,2263,5,0,65.7,1
2014,7998,2,69211,1,150,53.3,2
2017,11998,2,16121,1,150,74.3,1.5
2017,12698,2,15619,1,145,74.3,1.5
2017,9998,2,28534,1,0,74.3,1.5
2015,7998,2,41527,5,160,44.8,1.5
2017,9598,2,29720,5,30,57.7,1
2018,14598,2,6194,5,145,57.7,1
2015,15998,2,30324,1,235,43.5,2.2
2016,9998,2,4027,1,30,64.2,1.5
2018,16998,2,21284,1,145,74.3,1.5
2018,14498,2,22338,5,145,54.3,1
2016,13798,2,24123,1,20,67.3,2
2015,6998,2,37376,5,125,54.3,1.2
2017,14998,2,9587,1,150,60.1,2
2017,9998,2,5012,5,150,65.7,1
2017,12498,2,20554,1,0,74.3,1.5
2017,13298,1,12912,5,150,46.3,1.5
2016,7998,2,30654,5,0,65.7,1
2017,9998,2,42692,5,125,52.3,1
2017,8998,2,36501,1,30,64.2,1.5
2016,9998,2,22147,1,0,78.5,1.5
2016,10998,2,14345,5,0,65.7,1
2017,12298,2,17442,1,30,64.2,1.5
2014,9298,2,59701,1,145,53.3,2
2013,5798,2,33850,5,30,54.3,1.2
2018,10498,2,14272,5,145,65.7,1
2016,7998,2,22016,5,125,54.3,1.2
2019,12498,2,14348,5,145,56.5,1
2019,16498,2,9557,5,145,60.1,1
2018,10798,2,18847,1,145,88.3,1.5
2019,11298,2,13778,5,150,58.9,1
2018,11698,2,9782,5,145,55.4,1
2018,10298,2,18192,5,145,65.7,1
2018,18998,2,19725,1,145,67.3,2
2017,11998,2,9038,1,0,74.3,1.5
2017,9998,2,19096,5,145,65.7,1
2017,8498,2,17292,5,145,54.3,1.2
2018,12998,2,30127,5,145,54.3,1
2018,9998,2,14519,5,145,64.2,1.1
2017,9698,2,33005,5,145,53.3,1
2016,10498,3,25356,1,20,64.2,1.5
2016,7998,2,29531,5,125,54.3,1.2
2016,6998,2,34716,5,125,54.3,1.2
2017,17698,3,7373,1,150,54.3,2
2016,7298,2,35367,5,125,54.3,1.2
2016,8498,2,38313,5,20,60.1,1
2014,7298,2,52544,1,20,67.3,1.6
2019,16798,2,17998,5,150,60.1,1
2019,13598,2,12391,5,145,58.9,1
2018,15998,1,7063,5,150,31,1.5
2017,10830,1,14420,1,30,58.9,1.5
2014,4290,2,54096,5,30,57.7,1.2
2015,7790,2,30947,5,0,65.7,1
2017,11490,2,30993,5,145,47.9,1.6
2016,6340,2,13954,5,30,57.7,1.2
2016,11298,2,24939,1,30,61.4,1.5
2018,14998,2,10306,5,145,58.9,1
2018,16298,1,7097,1,145,64.2,2
2017,17298,3,32451,1,145,54.3,2
2019,15798,2,11614,5,145,60.1,1
2019,16998,2,12926,5,145,60.1,1
2017,11495,2,28500,5,150,47.9,1.6
2015,11698,2,48523,1,150,54.3,2
2018,13498,2,12726,5,145,51.4,1.5
2018,9998,2,6963,5,145,43.5,1.2
2019,23695,1,3541,1,145,74.3,1.5
2019,20498,1,9987,1,145,74.3,1.5
2019,16998,2,13998,5,145,60.1,1
2019,11198,2,16997,5,145,58.9,1
2018,11998,2,36244,5,145,54.3,1
2017,12698,2,12628,1,30,64.2,1.5
2017,12998,2,25279,1,0,74.3,1.5
2019,11798,2,5029,5,150,48.7,1.1
2019,13798,2,6505,5,150,48.7,1
2018,14660,1,2150,5,145,54.3,1
2015,7050,2,70672,1,0,74.3,1.5
2016,8370,2,43924,5,20,60.1,1
2015,8990,2,26437,5,20,62.8,1
2013,4990,2,66175,1,0,85.6,1.6
2019,12998,2,10102,5,145,58.9,1
2019,16998,2,21277,5,145,60.1,1
2019,17298,2,12142,5,145,48.7,1
2018,10495,2,33237,5,145,60.1,1
2018,11250,2,16787,5,145,56.5,1
2017,8550,2,16173,5,145,65.7,1
2017,15086,2,40198,1,145,64.2,1.5
2014,6420,2,76314,1,30,61.4,1.5
2016,9699,2,23149,5,20,62.8,1
2019,13200,2,2803,5,145,58.9,1
2018,10500,2,7994,5,145,55.4,1
2017,10998,3,6931,5,0,57.7,1
2017,14298,2,20442,1,150,64.2,1.5
2015,9998,2,51916,1,0,78.5,1.5
2017,9698,2,12920,5,0,65.7,1
2016,8998,2,14342,5,0,65.7,1
2014,7698,2,22384,5,0,65.7,1
2016,12990,2,29106,1,30,64.2,1.5
2017,9770,2,23653,5,0,65.7,1
2016,9280,2,30150,1,0,74.3,1.5
2014,12046,2,48254,5,235,39.2,2
2018,18991,2,19460,1,145,67.3,2
2019,19991,1,11559,1,145,37.7,2
2014,7491,2,17200,5,30,54.3,1.2
2017,9849,2,13998,5,145,65.7,1
2016,10799,2,59193,1,30,65.7,2
2016,10699,2,9027,5,20,60.1,1
2015,7499,2,16427,5,0,65.7,1
2013,5698,2,70048,5,0,65.7,1
2017,10298,2,21420,5,125,53.3,1
2018,10298,2,18840,5,145,65.7,1
2017,9998,2,46011,1,0,74.3,1.5
2017,15798,2,38199,1,145,67.3,2
2019,13998,2,13024,5,145,58.9,1
2018,15498,2,21602,1,145,64.2,1.5
2016,16498,3,23151,1,145,54.3,2
2019,16498,1,12368,1,145,74.3,1.5
2014,6998,2,20325,5,30,54.3,1.2
2016,8998,2,12118,5,125,54.3,1.2
2017,18698,2,14087,5,200,41.5,2
2019,13998,2,13194,5,145,54.3,1
2017,9698,2,27025,5,145,65.7,1
2018,14390,2,37813,1,145,60.1,2
2017,17799,2,20747,1,150,56.5,2
2015,6999,2,49000,5,0,65.7,1
2017,9380,2,33929,1,145,64.2,1.5
2019,11999,2,12700,5,145,65.7,1
2017,10500,2,31350,1,145,74.3,1.5
2018,15270,2,37484,1,145,54.3,2
2017,8617,2,11560,5,145,65.7,1
2016,11499,2,24300,5,145,47.9,1.6
2017,10478,2,30069,1,150,64.2,1.5
2017,14998,1,18209,1,145,56.6,1.5
2017,9698,2,34371,1,0,74.3,1.5
2019,16498,1,12245,5,145,51.4,1
2019,16598,1,11256,5,145,51.4,1
2018,15498,2,3059,5,145,60.1,1
2017,9298,2,30987,5,20,60.1,1
2018,17498,2,17662,1,150,60.1,2
2017,16998,2,29068,1,150,67.3,2
2017,16298,2,35121,1,145,54.3,2
2017,10498,2,13613,5,125,53.3,1
2016,8980,2,8346,5,125,54.3,1.2
2015,12150,2,63000,1,145,54.3,2
2016,13200,3,33698,1,145,52.3,2
2019,15900,2,11507,5,145,60.1,1
2019,17860,2,8011,1,145,38.2,2
2017,12980,2,11600,5,150,51.4,1.5
2015,6810,2,49853,1,0,88.3,1.5
2014,4490,2,31423,5,30,57.7,1.2
2017,10050,2,36789,1,0,74.3,1.5
2015,12500,2,40310,5,205,41.5,2
2018,20850,1,4957,5,145,31,1.5
2018,20700,2,10439,1,145,39.2,2
2017,11500,3,19386,5,125,51.4,1
2018,19380,1,36859,5,145,38.2,1.5
2018,19980,2,18911,1,145,39.2,2
2014,5480,2,35000,5,30,57.7,1.2
2017,9980,2,27700,5,150,61.4,1
2015,5980,2,26000,5,30,54.3,1.2
2016,8980,2,56000,1,0,74.3,1.5
2019,18300,2,9600,5,150,35.3,1.5
2017,18990,3,35601,1,145,52.3,2
2017,9490,2,12620,5,0,65.7,1
2019,10990,2,2851,5,145,43.5,1.2
2018,10490,2,30922,5,145,65.7,1
2014,10500,2,22500,1,145,53.3,2
2015,9000,3,34921,5,0,57.7,1
2016,7250,2,22440,5,125,54.3,1.2
2017,12495,2,13174,5,150,47.9,1.6
2020,18290,2,1005,5,145,51.4,1
2020,23155,2,1250,5,145,50.4,1
2019,19725,2,3309,1,145,74.3,1.5
2016,8430,3,31842,5,160,44.1,1.6
2016,10170,2,36563,5,20,60.1,1
2019,24995,2,6375,1,145,32.5,2
2019,24995,2,5341,1,145,32.5,2
2018,19690,2,16000,5,145,41.5,2
2016,11750,2,22000,5,145,47.9,1.6
2014,7471,2,53301,1,30,62.8,1.6
2013,5971,2,73411,1,20,67.3,1.6
2017,9471,2,11212,5,145,54.3,1.2
2017,9690,2,23000,5,0,65.7,1
2017,7710,2,34261,1,145,78.5,1.5
2016,8667,2,47832,1,0,74.3,1.5
2017,9000,2,41482,1,0,74.3,1.5
2018,11991,3,31107,5,145,54.3,1
2015,7495,2,33958,5,165,42.8,1.6
2014,5995,2,44523,1,0,76.4,1.5
2018,13990,2,7423,5,150,57.7,1
2018,12670,2,7162,5,150,60.1,1
2013,6890,2,27732,1,0,76.4,1.5
2019,19490,2,2000,5,145,58.9,1
2019,21390,2,6901,1,145,37.7,2
2014,8280,2,28371,5,0,65.7,1
2016,7990,2,20362,5,0,65.7,1
2018,8890,2,3669,5,145,47.9,1.2
2018,8989,2,4536,5,145,47.9,1.2
2019,15495,2,2112,5,145,58.9,1
2015,12940,2,33000,1,20,67.3,2
2019,28450,3,4577,1,145,54.3,2
2019,22980,3,3377,1,145,37.2,2
2019,22620,3,9963,1,145,38.7,2
2019,23190,3,5099,1,145,38.7,2
2019,23880,3,4507,1,145,38.7,2
2019,23780,2,12500,1,145,55.4,2
2016,7220,2,50211,1,0,88.3,1.5
2015,10191,2,50000,1,165,47.9,2
2017,10491,2,8801,5,125,53.3,1
2016,8650,2,11871,1,0,74.4,1.5
2019,19298,1,5689,1,145,50.4,1.5
2017,10607,2,20366,5,30,54.3,1
2018,13091,2,33937,5,145,62.8,1
2014,6990,2,48462,5,30,61.4,1.5
2016,10495,1,15146,1,30,58.9,1.5
2018,13180,3,19065,1,145,74.3,1.5
2013,6800,2,15974,5,0,65.7,1
2016,10277,2,15414,1,30,64.2,1.5
2015,13338,2,23117,5,205,41.5,2
2017,12890,2,14509,5,145,60.1,1
2013,4780,2,47969,5,30,54.3,1.2
2017,19320,2,11909,5,145,41.5,2
2014,6590,2,24916,5,30,54.3,1.2
2017,19990,3,18500,1,145,54.3,2
2017,12240,2,20245,1,30,64.2,1.5
2018,17060,2,9000,1,145,67.3,2
2015,10547,2,35226,1,30,64.2,2
2015,9578,2,44000,5,145,47.9,1.6
2015,8082,2,32309,5,0,65.7,1
2017,11731,2,22522,5,20,60.1,1
2015,10441,2,46032,1,125,60.1,2
2018,15250,2,3939,5,150,57.7,1
2015,6999,2,28861,5,30,54.3,1.2
2017,13480,2,37652,1,125,60.1,2
2017,7950,2,52053,1,20,68.9,1.5
2019,22998,1,7030,1,145,74.3,1.5
2018,9298,2,20369,5,145,65.7,1
2017,17298,2,9463,5,145,41.5,2
2019,16998,2,11651,5,150,60.1,1
2017,12298,2,18593,5,30,55.4,1
2013,6100,2,48438,5,30,54.3,1.2
2016,7197,2,49132,1,0,74.4,1.5
2017,10490,3,47018,5,145,51.4,1
2014,7470,2,50039,5,30,56.5,1
2018,12698,2,5987,5,150,58.9,1
2017,12498,2,16549,1,150,74.3,1.5
2017,10798,2,13167,5,30,55.4,1
2013,5840,2,58804,1,20,67.3,1.6
2017,9420,3,40792,5,0,57.7,1
2018,10870,2,19862,5,145,60.1,1
2018,8791,2,13579,5,150,64.2,1.1
2014,10699,2,45497,1,200,47.9,2
2017,6699,2,33315,5,30,57.7,1.2
2017,10298,2,40375,1,150,68.9,1.5
2017,18498,3,40512,1,150,52.3,2
2019,18798,2,5015,1,150,62.8,2
2018,10298,2,11552,5,150,55.4,1.1
2015,6298,2,34701,5,125,54.3,1.2
2017,9798,2,27485,5,150,60.1,1
2017,13298,2,16400,5,165,45.6,1.5
2018,13998,3,10826,5,150,51.4,1
2016,10250,2,30086,1,0,74.3,1.5
2017,11750,2,27800,5,145,60.1,1
2019,21000,1,10671,5,145,31,1.5
2015,8000,2,40253,5,20,60.1,1
2018,13500,2,9999,5,145,57.7,1
2017,16000,2,8543,1,145,64.2,1.5
2014,6650,2,57016,5,0,65.7,1
2016,15500,2,13036,5,200,41.5,2
2017,12000,2,8589,5,145,57.7,1
2017,11750,2,14372,5,145,53.3,1
2016,11498,3,15411,5,0,57.7,1
2017,11498,2,36658,1,150,64.2,1.5
2017,19298,3,26035,1,150,52.3,2
2019,11498,2,5492,5,150,48.7,1.1
2019,19498,1,4551,1,145,64.2,2
2016,7698,2,9578,5,30,57.7,1.2
2014,6698,2,35725,5,30,54.3,1.2
2017,10298,2,18563,5,150,60.1,1
2015,7410,2,53593,1,0,78.5,1.5
2016,10000,2,40200,5,125,52.3,1
2017,15877,2,40454,1,145,67.3,2
2018,11000,2,18039,5,145,65.7,1
2018,8471,2,18703,5,145,48.7,1.2
2017,9312,2,18850,5,145,65.7,1
2017,9500,2,17226,5,145,65.7,1
2016,15000,2,29680,1,145,54.3,2
2019,17000,2,3745,5,145,60.1,1
2016,8498,2,24348,1,0,74.4,1.5
2017,11698,2,22997,5,145,55.4,1
2018,25498,3,19364,1,145,47.9,2
2016,10298,2,24745,1,0,78.5,1.5
2019,17998,2,23521,5,145,60.1,1
2019,17498,2,14074,1,145,61.4,1.5
2019,14998,2,8147,5,145,60.1,1
2015,14498,2,37623,1,145,54.3,2
2016,13998,2,77495,1,125,56.5,2
2016,7899,2,25465,5,125,54.3,1.2
2017,11000,2,50940,1,0,74.3,1.5
2015,6999,2,63259,5,20,61.4,1
2014,7500,2,15800,5,150,47.1,1.4
2017,7999,2,14796,5,145,57.7,1.2
2017,8999,2,19300,5,125,54.3,1.2
2017,10950,2,21631,5,150,60.1,1
2016,10500,2,19255,1,0,78.5,1.5
2018,14750,2,12604,5,145,55.4,1
2017,8000,2,16756,5,125,54.3,1.2
2017,19000,2,11717,5,145,41.5,2
2014,6750,2,40621,5,165,42.8,1.6
2017,11500,2,27000,1,150,74.3,1.5
2017,8799,2,52333,5,165,44.8,1.5
2014,5995,2,58769,5,0,65.7,1
2017,7500,2,22867,5,150,57.7,1.2
2017,9999,2,47311,1,0,74.3,1.5
2014,8222,2,42102,5,0,65.7,1
2013,6899,2,31910,1,20,70.6,1.6
2017,16688,2,16735,1,150,60.1,2
2014,8000,2,47911,1,20,67.3,1.6
2017,7495,2,15060,5,150,57.7,1.2
2017,9823,2,28828,5,145,65.7,1
2014,9877,2,58317,1,200,47.9,2
2017,10000,2,49904,1,145,74.3,1.5
2017,9998,2,30605,1,0,74.3,1.5
2019,18875,1,1137,5,145,47.9,1.5
2019,18000,1,5770,1,145,64.2,2
2018,17550,2,16672,1,145,64.2,1.5
2018,13766,2,12983,5,145,58.9,1
2018,10642,2,16364,5,145,65.7,1
2018,10463,2,13811,5,145,65.7,1
2019,34000,3,10,1,145,37.2,2
2014,9356,2,42342,1,145,53.3,2
2016,22000,3,10637,1,145,52.3,2
2018,10000,2,32709,5,145,65.7,1
2016,10450,3,22380,1,20,64.2,1.5
2013,6900,3,28154,5,160,44.1,1.6
2016,13240,1,58644,1,30,61.4,2
2018,13195,2,29730,5,145,58.9,1
2015,7700,2,11015,5,125,54.3,1.2
2017,9600,2,22772,5,0,65.7,1
2015,14460,1,30981,1,145,52.3,2
2020,16975,1,293,1,145,54.3,1.5
2018,11699,2,36928,5,150,62.8,1
2016,9399,2,14944,5,20,60.1,1
2016,13250,1,36145,1,125,56.6,1.5
2017,10980,2,18982,5,150,65.7,1
2017,7999,2,36987,5,145,54.3,1.2
2015,7250,3,47360,5,160,44.1,1.6
2017,8500,2,45345,5,145,65.7,1
2014,7250,2,40412,5,30,56.5,1
2017,10500,2,29533,5,20,62.8,1
2016,15500,2,13036,5,200,41.5,2
2017,10998,2,12790,5,145,62.8,1
2016,9998,2,19504,5,20,62.8,1
2018,22998,3,9343,1,145,47.9,2
2015,7690,2,46306,5,20,61.4,1
2017,10990,2,18487,5,145,65.7,1
2015,8490,2,48547,1,0,74.3,1.5
2017,9990,2,21047,5,145,65.7,1
2018,13990,2,14752,5,145,65.7,1
2017,7495,2,22364,5,145,57.7,1.2
2018,8930,2,38151,5,145,65.7,1
2018,11491,2,15341,5,145,65.7,1
2015,6777,2,30544,5,30,55.4,1
2018,14591,2,37880,5,145,60.1,1
2016,9999,2,27977,1,0,74.3,1.5
2017,10999,2,22612,5,150,65.7,1
2013,5000,2,56497,5,30,54.3,1.2
2016,14133,3,28896,1,150,52.3,2
2017,9417,2,35731,5,150,62.8,1
2018,14581,2,15535,1,145,80.7,1.5
2016,9840,2,47219,1,20,67.3,2
2015,14620,2,30098,1,125,43.5,2
2016,10141,2,42792,1,20,70.6,2
